year,month,appraiser,estimator,lawyer,auditor,actuary,all,official,avg_rate,appraiser_usd,estimator_usd,lawyer_usd,auditor_usd,actuary_usd,price_index,appraiser_real,estimator_real,lawyer_real,auditor_real,actuary_real,oil_price,appraiser_barrels,estimator_barrels,lawyer_barrels,auditor_barrels,actuary_barrels,appraiser_real_smoothed,estimator_real_smoothed,lawyer_real_smoothed,auditor_real_smoothed,actuary_real_smoothed,appraiser_barrels_smoothed,estimator_barrels_smoothed,lawyer_barrels_smoothed,auditor_barrels_smoothed,actuary_barrels_smoothed
2017,1,28510,43899,32084,34436,60000,33609,34422,59.629856249999996,478.11619535809297,736.191612066816,538.0526135345161,577.4959418923637,1006.2073560675404,,,,,,,53.95,8.862209367156495,13.645813013286672,9.973171705922448,10.70428066528941,18.650738759361268,,,,,,10.83393637163006,15.111705554969381,12.286998681446924,12.325132453246248,46.23400507925078
2017,2,29313,42660,31609,39482,123000,35021,35497,58.539361111111106,500.74000541895606,728.7404438703874,539.9614789099643,674.452184831004,2101.1503655897245,,,,,,,52.31,9.572548373522386,13.931187992169516,10.322337581914821,12.893370002504378,40.16727902102322,,,,,,10.652696947244058,14.825372239517103,12.210495113417602,12.042274704047635,45.12454316778752
2017,3,28905,42439,31497,31248,123000,33682,37899,58.006631818181816,498.3050919177815,731.6232415118052,542.9896377835795,538.6970251598975,2120.4471996501343,,,,,,,50.6,9.847926717742718,14.458957342130537,10.731020509556906,10.646186267982165,41.90607113933071,,,,,,10.466966455013337,14.536264260153061,12.121630715347575,11.759170602837287,44.008145995461526
2017,4,31276,40788,31332,33954,123000,32589,39225,56.43561428571428,554.1890594414419,722.7351117949077,555.1813406579888,601.6413647613095,2179.4748149155057,,,,,,,49.36,11.227493100515437,14.642121389686135,11.247596042503826,12.188844504888767,44.1546761530694,,,,,,10.277610990081895,14.245349831602484,12.021087539847997,11.476423014517414,42.887432834288234
2017,5,30648,41852,33726,38347,123000,30967,39679,56.950068421052634,538.1556308836743,734.8893716961478,592.2029759587184,673.344230536944,2159.786694031974,,,,,,,48.15,11.176648616483373,15.262499931384172,12.299127226556976,13.984303853311403,44.855383053623555,,,,,,10.085835100440518,13.95379715889959,11.910422571774552,11.194895783647953,41.766570876988325
2017,6,32103,42041,43552,33165,123000,31165,41454,57.89317619047618,554.5213117065282,726.1823027584385,752.282097232119,572.8654425675796,2124.6027268449357,,,,,,,46.08,12.033882632520143,15.759164556389724,16.325566346183138,12.431975750164488,46.106830009655724,,,,,,9.892665811641763,13.66271389287249,11.791887604916143,10.915251607021258,40.649725919471166
2017,7,31357,41293,43720,31262,123000,30777,38073,59.69267619047619,525.3073241337256,691.7599048204206,732.4181589797009,523.7158391130698,2060.5542899017205,,,,,,,51.74,10.152828065978461,13.369924716281805,14.155743312325104,10.122068788424233,39.825169886001554,,,,,,9.698717766221046,13.372814520895377,11.668007754833484,10.637467344494535,39.53989523487477
2017,8,29287,40862,41361,32359,123000,31293,37099,59.61272608695652,491.2877152653501,685.4576645328211,693.8283604018897,542.8203359262287,2063.3178194297147,,,,,,,51.69,9.504502133204683,13.26093373056338,13.422874064652538,10.501457456495043,39.917156498930446,,,,,,9.50401029921392,13.08421292402109,11.540976520311974,10.360780162217646,38.43807592564497
2017,9,30053,42044,36675,26171,123000,31901,38047,57.744690909090906,520.4461142118379,728.1015680937846,635.1233234192644,453.21915466136517,2130.06595175377,,,,,,,56.27,9.249086799570604,12.939427191999016,11.287068125453427,8.054365641751646,37.854379807246666,,,,,,9.307981014333867,12.796578376029506,11.412399008444575,10.083953786870076,37.34383733546272
2017,10,31400,42258,43816,31213,123000,31809,38333,57.69805238095238,544.2124769252341,732.3990716530747,759.4017162087918,540.9714663142463,2131.7877280829234,,,,,,,61.15,8.899631674983388,11.977090296861402,12.418670747486374,8.846630683797978,34.861614523024095,,,,,,9.109374510420094,12.508908493176635,11.283197086025673,9.805070448483933,36.25453974906329
2017,11,31414,45180,47362,35440,123000,32441,38848,58.92655238095238,533.1043261603469,766.7171788350566,803.7463263387772,601.4266670631786,2087.344245168481,,,,,,,63.33,8.417879775151539,12.106697913075267,12.691399436898424,9.496710359437527,32.95980175538419,,,,,,8.905726657766651,12.21896300058554,11.15347063806663,9.52161218964492,35.16404868164785
2017,12,34692,44498,51943,33322,123000,31979,51197,58.573854545454545,592.2779074250317,759.6904855470732,886.7949770949621,568.8886322845874,2099.9130235581374,,,,,,,66.73,8.875736661547005,11.384541968336178,13.289299821593916,8.525230515279295,31.46879999337835,,,,,,8.691759082058894,11.921855078348019,11.018914073527815,9.229631426436494,34.06021553944347
2018,1,33147,43983,36187,34444,123000,32837,39017,56.4981,586.692295847117,778.4863561783493,640.499415024576,609.6488200488158,2177.064361456403,,,,,,,66.67,8.79994444048473,11.676711507099885,9.6070108748249,9.144275086977887,32.654332705210784,,,,,,8.45438780511745,11.605845484431795,10.853161674401074,8.92250763312545,32.91725664719372
2018,2,34081,44014,38075,37933,123000,33658,40443,56.80670526315789,599.9467816716226,774.8029003988967,670.2553831210067,667.7556782121903,2165.237350594454,,,,,,,63.83,9.399134915739035,12.138538311121678,10.500632666786883,10.461470753755137,33.9219387528506,,,,,,8.215141050625906,11.33349446054294,10.617938468343203,8.679045807418573,31.95578979456452
2018,3,32660,42915,37517,36030,123000,33427,42364,57.06360476190476,572.3437931457771,752.055538360411,657.4593413181298,631.4007001543891,2155.4894842905874,,,,,,,67.67,8.45786601368076,11.113573789868642,9.715669296854289,9.330585195129144,31.85295528728517,,,,,,7.999039413534958,11.09971425865627,10.401248248212354,8.485628196115231,31.114267991424978
2018,4,33081,43668,45736,35293,123000,35045,43381,60.769890476190476,544.36497648389,718.5795409177023,752.6095512368789,580.7645813320617,2024.0286601831406,,,,,,,73.17,7.439729075903922,9.820685266061258,10.285766724571257,7.937195316824678,27.662001642519346,,,,,,7.810895373361216,10.906896963101753,10.229038993463075,8.337446780691817,30.404997141115082
2018,5,31993,44563,44004,36347,123000,34609,44076,62.2309,514.1015154850726,716.0912022805392,707.108526471576,584.0667578325238,1976.5100617217493,,,,,,,75.75,6.786818686271586,9.453349205023619,9.334766026027406,7.710452248614175,26.092542068933984,,,,,,7.647349594400332,10.749449344075979,10.115214050282146,8.222317664016908,29.821149806373572
2018,6,32478,45787,36480,30633,123000,34354,45848,62.768504761904765,517.4251023374932,729.4581920292752,581.1831927234359,488.03138000814175,1959.5814886234268,,,,,,,76.44,6.769035875686724,9.542885819325946,7.603129156507535,6.3845026165376995,25.635550609934942,,,,,,7.503563163602264,10.621223298470003,10.065582086628556,8.129154120720498,29.34574712844405
2018,7,30733,47214,37653,30943,123000,33691,42413,62.86194761904761,488.8967199401198,751.0744065093813,598.9792143918696,492.2373736734821,1956.6686152550917,,,,,,,72.76,6.719306211381525,10.322627906945867,8.232259681031742,6.765219539217731,26.892092018349253,,,,,,7.376685319698053,10.517347305055225,10.075130623853456,8.051661346920703,28.965661309190235
2018,8,28164,45956,36699,28296,123000,33867,41364,66.07640869565218,426.2338186344741,695.4978472221948,555.4024609454113,428.231505896928,1861.4813127410994,,,,,,,76.89,5.543423314273301,9.04536151934185,7.223338027642233,5.569404420560906,24.209667222539984,,,,,,7.266063509990311,10.436721971094482,10.13049232488691,7.985642547988613,28.688202528545407
2018,9,28328,45474,44634,31193,123000,35494,41774,67.66609523809524,418.6439294350128,672.0352318246178,659.6213338888153,460.9841884660532,1817.749340599639,,,,,,,82.07,5.101059210856742,8.188561372299475,8.037301497365851,5.616963427148206,22.14876740099475,,,,,,7.17373697798512,10.381840425199654,10.221847191143896,7.932793662080903,28.533842366418046
2018,10,30012,44314,39587,37055,123000,35530,42332,65.85452727272728,455.73176580115006,672.9074193559965,601.12799589398,562.6796142130353,1867.7531385293037,,,,,,,73.29,6.218198469111066,9.181435657743164,8.202046607913495,7.677440499563859,25.484419955373223,,,,,,7.1039818574910365,10.35697088124116,10.350737840962301,7.8957082567316395,28.52207245700981
2018,11,30321,46465,36514,34758,123000,35243,42595,66.35568095238095,456.9465577749004,700.2414764358282,550.2769239336669,523.8134776273865,1853.6468654171283,,,,,,,57.91,7.890633012863071,12.091892185042795,9.502278085540787,9.045302670132733,32.009098004094774,,,,,,7.062371251475973,10.36683730311552,10.521838826201328,7.883846147676966,28.66649857247977
2018,12,31394,43051,41399,34605,123000,35622,55569,67.33531363636364,466.2338126104167,639.3524834901908,614.8185515786023,513.9205289349388,1826.6789498337662,,,,,,,50.62,9.210466468005071,12.630432309170107,12.14576356338606,10.152519338896461,36.08611121757737,,,,,,7.053558131377217,10.41465431096263,10.734568468775159,7.907116693295769,28.96880941839964
2019,1,30336,45729,67041,41491,123000,36121,42263,66.51254374999999,456.0944190320492,687.5244491006256,1007.945211838331,623.8071446485612,1849.275235394978,,,,,,,62.96,7.244193440788583,10.920019839590623,16.009294978372473,9.907991496959358,29.372224196235354,,,,,,7.080789702660898,10.500902447276477,10.98522913030765,7.973582224717432,29.420691837795125
2019,2,28234,42492,54937,31939,123000,34421,43062,65.810525,429.0195223332438,645.6717979380958,834.7752886031528,485.31750810375695,1869.001956753878,,,,,,,64.73,6.627831335288796,9.97484625271274,12.896265852049325,7.49756694119816,28.87381363747687,,,,,,7.145405763497999,10.626177120560444,11.27024153563587,8.088774156109272,30.013717721165495
2019,3,29371,44793,54195,31316,123000,34998,46324,65.09225714285715,451.2211020051101,688.1463628107622,832.5875054702577,481.1017680838932,1889.6256697636627,,,,,,,68.63,6.574691854948421,10.026903144554309,12.13153876541247,7.010079674834522,27.533522799995087,,,,,,7.245351458226939,10.787177199872813,11.589646615673026,8.248724279633079,30.73282542739696
2019,4,27998,45690,47546,23323,123000,36066,48030,64.60310476190476,433.38474370832245,707.2415508262466,735.9708202141545,361.0198006110867,1903.9332622374334,,,,,,,73.09,5.929467009280646,9.67631072412432,10.069377756384656,4.93938706541369,26.04916215949423,,,,,,7.372508088478795,10.973148272092754,11.935310918530428,8.439275137979354,31.5411234570043
2019,5,31602,47383,59349,34084,123000,35930,47926,64.81870555555555,487.5444476890116,731.0081186269362,915.6153226344899,525.835863395743,1897.6003754746037,,,,,,,67.68,7.203670917390832,10.800947379239599,13.528595192589979,7.769442426060031,28.03783060689426,,,,,,7.5189160602661715,11.175478207534304,12.290324676000091,8.646046780733498,32.409487538394465
2019,6,32115,46035,57608,40506,123000,36464,49348,64.16905,500.474917425145,717.4019250713545,897.7536678507786,631.2388916463623,1916.811921011765,,,,,,,66.27,7.552058509508752,10.82544024553123,13.546909127067732,9.525258663744715,28.924278270888262,,,,,,7.683210188212707,11.39541930085252,12.63488479751787,8.862938249290329,33.344567431904316
2019,7,31764,46782,49038,32665,150000,36577,46509,63.22268181818181,502.41462536100755,739.9559565432143,775.6393526776568,516.6658398632827,2372.5662323432543,,,,,,,64.89,7.742558566204462,11.40323557625542,11.953141511444857,7.962179686597052,36.562894626957224,,,,,,7.867708317262813,11.6434934453075,12.961000570662119,9.086658276002822,34.369825380838314
2019,8,32866,47396,49493,38858,150000,37587,44961,65.58748260869565,501.1017147293681,722.6378893480536,754.6104535720993,592.4606106904943,2287.021761376657,,,,,,,62.09,8.070570377345273,11.63855515136179,12.153494178967616,9.541965061853668,36.83397908482295,,,,,,8.073219773765905,11.931209660920816,13.277410091936162,9.308467444459495,35.49476349671386
2019,9,32053,47756,57981,32448,150000,37591,45541,64.958705,493.43656096592446,735.1747544844068,892.582449111324,499.5173472131257,2309.1593343802037,,,,,,,59.94,8.232174857623031,12.265177752492606,14.891265417272672,8.333622742961722,38.52451341975649,,,,,,8.293295500492473,12.256677314969819,13.598074683710065,9.515829563960203,36.68534994564495
2019,10,33436,48582,53437,37030,150000,38768,46549,64.37499130434783,519.3942449160651,754.6719465998408,830.0894325152462,575.2233786709502,2330.097402123752,,,,,,,60.15,8.634983290375146,12.546499527844402,13.800323067585142,9.563148440082298,38.738111423503774,,,,,,8.519489234212257,12.607142928355472,13.929221612867746,9.706211581419605,37.895594224532175
2019,11,33486,49291,54398,40048,150000,39800,46285,63.86711904761904,524.307350939581,771.7742828394819,851.7371819987856,627.0519258922637,2348.626370451447,,,,,,,65.15,8.04769533291759,11.846113320636713,13.073479386013592,9.624741763503664,36.04952218651492,,,,,,8.746009783578657,12.965939311543972,14.26378608112439,9.889164689603748,39.09098952889669
2019,12,33417,50252,56574,44590,150000,40559,62239,62.932538095238094,530.9971758874375,798.5058527903614,898.9626306567282,708.5364955807174,2383.504694709747,,,,,,,66.27,8.012632803492343,12.049281013888056,13.565152114934785,10.691662827534593,35.96657152119733,,,,,,8.961467409877,13.307795205750907,14.583015000723465,10.067924647684208,40.21663433505383
2020,1,34040,49844,50867,42098,150000,38823,46674,61.81214705882353,550.7008188472379,806.3787195834818,822.9288646387323,681.0635450009112,2426.7074861070996,,,,,,,58.37,9.434655111311255,13.814951509053998,14.098490057199458,11.668040860046448,41.57456717675346,,,,,,9.1521532160756,13.608434064008666,14.873245835295597,10.236982723513213,41.21465174729148
2020,2,34901,49741,50100,43113,150000,39057,47257,63.97975,545.5007248387185,777.4491147589666,783.0602651620239,673.8538365654757,2344.491811862347,,,,,,,48.86,11.164566615610285,15.911770666372629,16.02661205816668,13.791523466342115,47.983868437624785,,,,,,9.306907188791197,13.853954675441031,15.121603288379621,10.38430920742426,42.04120260648047
2020,3,32645,48893,49323,43870,150000,36456,50948,73.71944210526316,442.82755088388456,663.2307381027957,669.0636634169348,595.0940314680967,2034.7413886531683,,,,,,,15.11,29.306919317265688,43.893496896280325,44.27952769139211,39.38411856175359,134.66190527155317,,,,,,9.41994407836465,14.042413504053643,15.3150055927248,10.49717802024635,42.67266887141498
2020,4,31808,48127,50845,35045,150000,37726,49306,74.76353333333333,425.4480571187558,643.722920175879,680.0775422599075,468.7445662011694,2006.3257220766275,,,,,,,18.78,22.654316140508826,34.27704580276246,36.21286167518144,24.959774558102733,106.83310554188644,,,,,,9.491464345852897,14.18129624970412,15.44603383349739,10.572043309746908,43.097226114090574
2020,5,30840,47640,60783,32713,150000,39661,50747,72.50029444444445,425.37758275770983,657.1007795907035,838.3828019702295,451.21196059510254,2068.9571145803006,,,,,,,35.46,11.995983721311614,18.53076084576152,23.643057021157063,12.724533575722011,58.34622432544559,,,,,,9.527212495944546,14.281930760327096,15.517791937155208,10.612096190793286,43.3239537702272
2020,6,31640,51108,60107,34868,150000,39812,52123,69.196715,457.24713954990494,738.5899749720778,868.6395011670713,503.8967529022151,2167.7329624679437,,,,,,,44.16,10.354328341256906,16.725316462230023,19.670278559036944,11.410705455213206,49.08815585298786,,,,,,9.536225038554061,14.357419600086056,15.543409972759658,10.61902487132115,43.38386296215598
2020,7,33606,51657,57197,30991,150000,38648,50145,71.29407391304348,471.37157628260707,724.5623256570444,802.2686439515645,434.69251087824426,2103.9616866747324,,,,,,,43.57,10.818718757920749,16.629844518178665,18.413326691566777,9.976876540698743,48.28922852133882,,,,,,9.524109165570476,14.4160400103805,15.532743306159796,10.588974247869707,43.32866720459871
